timestamp,value
0,0.182
1,0.191
2,0.187
3,0.196
4,0.204
5,0.211
6,0.198
7,0.205
8,0.214
9,0.209
10,0.221
11,0.217
12,0.226
13,0.231
14,0.224
15,0.238
16,0.245
17,0.251
18,0.247
19,0.258
20,0.301
21,0.354
22,0.429
23,0.518
24,0.442
25,0.361
26,0.293
27,0.271
28,0.283
29,0.296
30,0.278
31,0.305
32,0.289
33,0.314
34,0.298
35,0.326
36,0.311
37,0.339
38,0.321
39,0.351
40,0.337
41,0.368
42,0.344
43,0.382
44,0.356
45,0.401
46,0.371
47,0.423
48,0.386
49,0.448
50,0.412
51,0.476
52,0.438
53,0.501
54,0.463
55,0.529
56,0.487
57,0.552
58,0.514
59,0.579
